"Carrera","Ciclo","Nro_Curos","Dispositivo_principal","Nro_dispositivos_dia","Modelo_dispositivo_principal","Marca_disp_principal","Horas_uso_dispo_dia","Nro_carga_dia","Satisfaccion","tipo_de_uso","Bateria_dispo_pricipal","Eficiencia_energetica","Consumo_energia_dia"
"Ingenieria Química",8,7,"Laptop",2,"Laptop Lenovo Ideapad 5","Lenovo",8,5,2,"Estudios;Investigación;Entretenimiento",4990,8.01603206412826,24950
"Ingenieria Química",6,6,"Celular",2,"Motorola edge 40","Motorola",6,1,4,"Estudios;Entretenimiento",4400,1.36363636363636,4400
"Ingenieria Química",6,5,"Laptop",2,"Hp, victus, Ryzen 5","HP",7,3,3,"Estudios;Investigación;Entretenimiento",4550,4.61538461538461,13650
"Ingenieria Química",6,5,"Celular",2,"Samsung galaxy A32","Samsung",5,2,4,"Estudios;Entretenimiento",4860,2.05761316872428,9720
"Ingenieria Química",6,6,"Celular",3,"Samsung Galaxy 6, Hp, Redmi","Samsung",6,3,3,"Estudios;Investigación",2550,7.05882352941176,7650
"Ingenieria Química",6,5,"Laptop",2,"Asus vivobook","Asus",8,3,3,"Estudios;Investigación;Entretenimiento",8380,2.86396181384248,25140
"Ingenieria Mecatrónica",5,5,"Celular",2,"iPhone 12 Pro, TUF Gaming Asís","Apple",4,3,3,"Entretenimiento",2815,4.26287744227353,8445
"Ingenieria Mecatrónica",6,5,"Laptop",3,"Asus rog strix","Asus",5,4,4,"Estudios;Investigación;Entretenimiento",4840,4.13223140495868,19360
"Ingenieria Mecatrónica",7,6,"Laptop",2,"Lenovo Slim 7","Lenovo",4,1,4,"Estudios;Entretenimiento",3952,1.01214574898785,3952
"Ingenieria Mecatrónica",5,4,"Celular",3,"Samsung s10 plus","Samsung",6,2,4,"Estudios;Entretenimiento",4500,2.66666666666667,9000
"Ingenieria Mecatrónica",8,4,"Tablet",3,"Samsung Galaxy Tab S7+","Samsung",5,1,4,"Estudios",10090,0.495540138751239,10090
"Ingenieria Mecatrónica",5,6,"Laptop",2,"HP Victus 15","HP",5,2,4,"Estudios;Investigación",4323,2.31320842007865,8646
"Ingenieria Mecatrónica",7,6,"Celular",2,"Redmi 10 Xiaomi","Xiaomi",6,2,3,"Estudios;Investigación;Entretenimiento",5000,2.4,10000
"Ingenieria Mecatrónica",8,4,"Laptop",2,"Lenovo Ideapad","Lenovo",5,3,2,"Estudios;Entretenimiento",4950,3.03030303030303,14850
"Ingenieria Mecatrónica",9,5,"Laptop",2,"Asus TUF Gaming","Asus",12,5,3,"Estudios;Entretenimiento",4240,14.1509433962264,21200
"Ingenieria Mecatrónica",5,5,"Laptop",2,"Asus X515","Asus",3.5,2,4,"Estudios",4850,1.44329896907216,9700
"Ingenieria Mecánica",3,6,"Laptop",4,"Asus ROG Strix G15","Asus",5,2,3,"Estudios;Investigación;Entretenimiento",3620,2.76243093922652,7240
"Ingenieria Mecánica",6,5,"Celular",3,"Redmi 9c","Xiaomi",6,1,3,"Estudios;Investigación;Entretenimiento",5000,1.2,5000
"Ingenieria Mecánica",7,6,"Celular",3,"Iphone 15 pro","Apple",6,1,4,"Estudios;Investigación;Entretenimiento",3290,1.82370820668693,3290
"Ingenieria Mecánica",3,6,"Celular",3,"POCO X5","Xiaomi",2.5,1,5,"Estudios;Investigación;Entretenimiento;Otros",5000,0.5,5000
"Ingenieria Mecánica",3,6,"Tablet",3,"Tab S9","Samsung",6,1,5,"Estudios;Investigación;Otros",8000,0.75,8000
"Ingenieria Mecánica",3,5,"Celular",2,"Samsung A34 5G","Samsung",3,1,5,"Estudios;Investigación;Entretenimiento",4905,0.611620795107034,4905
"Ingenieria Mecánica",3,6,"Laptop",3,"Asus ROG zephyrus","Asus",4,1,4,"Estudios;Entretenimiento",4920,0.813008130081301,4920
"Ingenieria Industrial",4,4,"Celular",2,"Moto g85","Motorola",4.5,3,5,"Estudios;Investigación;Entretenimiento",5200,2.59615384615385,15600
"Ingenieria Industrial",3,5,"Celular",2,"Motorola g(9) plus","Motorola",6,2,5,"Estudios;Entretenimiento",500,24,1000
"Ingenieria de la Energía",5,4,"Laptop",3,"THINKPADT490","Lenovo",5,3,3,"Estudios;Investigación;Entretenimiento",4385,3.42075256556442,13155
"Ingenieria Electrónica",3,6,"Celular",2,"Samsung Galaxy A14 5G","Samsung",5,3,5,"Estudios;Entretenimiento",5000,3,15000
"Ingenieria Electrónica",10,2,"Celular",3,"Samsung Galaxy S23","Samsung",7,1,3,"Estudios;Entretenimiento",3785,1.84940554821664,3785
"Ingenieria Electrónica",10,2,"Laptop",1,"HP pavilion Gaming 15","HP",14,4,4,"Estudios;Investigación;Entretenimiento;Otros",4550,12.3076923076923,18200
"Ingenieria Electrónica",9,6,"Laptop",2,"Asus rog strix g15","Asus",5,2,3,"Estudios;Investigación;Entretenimiento",3620,2.76243093922652,7240
"Ingenieria Civil",1,7,"Celular",2,"iPhone 8","Apple",5,2,3,"Estudios;Investigación;Entretenimiento",1821,5.49148819330038,3642
"Ingenieria Civil",7,7,"Celular",3,"Samsung Galaxy S22 Ultra","Samsung",8,2,4,"Estudios;Investigación;Entretenimiento;Otros",5000,3.2,10000
"Ingenieria Civil",4,5,"Tablet",3,"Ipad Air(5a. generación)","Apple",8,3,4,"Estudios;Investigación",7729,3.10518825203778,23187
"Ingenieria Civil",8,7,"Celular",2,"Xiaomi redmi 11","Xiaomi",8,1,4,"Estudios;Entretenimiento",5000,1.6,5000
"Ingenieria Ambiental",4,6,"Laptop",2,"HP Laptop 15-dy2xxx","HP",7,4,4,"Estudios;Investigación",3550,7.88732394366197,14200
"Ingenieria Ambiental",4,6,"Celular",3,"13 c","Xiaomi",7,1,5,"Estudios;Investigación;Entretenimiento",5000,1.4,5000
"Ingenieria Ambiental",5,6,"Celular",4,"Iphone 15","Apple",5,2,5,"Estudios;Investigación;Entretenimiento",3877,2.57931390250193,7754
"Ingenieria Ambiental",5,6,"Celular",2,"Iphone 15 Plus","Apple",6,3,4,"Estudios;Investigación;Entretenimiento",4383,4.10677618069815,13149
"Ingenieria Ambiental",4,6,"Laptop",2,"Hp Laptop 14-dq2xxx","HP",4,3,5,"Estudios;Investigación",3550,3.38028169014085,10650
